iter	Passed	Remaining
405	4277	6258
406	4283	6241
407	4292	6227
408	4298	6211
409	4305	6196
410	4312	6180
411	4318	6163
412	4327	6151
413	4333	6133
414	4344	6124
415	4354	6113
416	4361	6097
417	4369	6084
418	4377	6069
419	4383	6053
420	4390	6037
421	4396	6021
422	4403	6006
423	4410	5991
424	4419	5979
425	4427	5965
426	4437	5955
427	4447	5944
428	4455	5930
429	4463	5916
430	4471	5903
431	4478	5888
432	4485	5873
433	4492	5858
434	4500	5845
435	4507	5831
436	4515	5817
437	4525	5806
438	4534	5794
439	4542	5781
440	4555	5774
441	4564	5762
442	4572	5748
443	4584	5740
444	4591	5726
445	4599	5713
446	4605	5697
447	4613	5684
448	4620	5670
449	4629	5658
450	4638	5646
451	4645	5632
452	4651	5616
453	4659	5603
454	4668	5591
455	4675	5577
456	4683	5564
457	4690	5551
458	4699	5539
459	4706	5525
460	4716	5513
461	4723	5500
462	4734	5491
463	4749	5486
464	4757	5474
465	4767	5463
466	4775	5450
467	4783	5437
468	4790	5423
469	4800	5413
470	4812	5404
471	4820	5392
472	4828	5379
473	4871	5405
474	4928	5447
475	4950	5449
476	4968	5447
477	4978	5437
478	4985	5422
479	5015	5433
480	5023	5420
481	5032	5408
482	5041	5396
483	5049	5383
484	5057	5370
485	5064	5356
486	5072	5343
487	5078	5328
488	5085	5314
489	5092	5300
490	5099	5286
491	5107	5273
492	5113	5258
493	5119	5243
494	5126	5230
495	5132	5215
496	5141	5203
497	5149	5190
498	5156	5176
499	5166	5166
500	5174	5153
501	5183	5142
502	5193	5131
503	5200	5118
504	5209	5106
505	5216	5092
506	5224	5080
507	5230	5065
508	5239	5053
509	5245	5040
510	5254	5027
511	5261	5014
512	5269	5002
513	5276	4989
514	5284	4976
515	5291	4962
516	5297	4949
517	5305	4936
518	5311	4922
519	5319	4910
520	5327	4897
521	5334	4884
522	5341	4871
523	5347	4858
524	5354	4844
525	5363	4833
526	5369	4819
527	5376	4805
528	5382	4792
529	5391	4780
530	5400	4769
531	5406	4756
532	5413	4743
533	5420	4730
534	5427	4717
535	5434	4704
536	5441	4691
537	5448	4678
538	5455	4666
539	5464	4654
540	5471	4642
541	5478	4629
542	5485	4616
543	5491	4602
544	5500	4591
545	5507	4579
546	5516	4568
547	5523	4555
548	5532	4545
549	5540	4532
550	5547	4520
551	5553	4507
552	5560	4494
553	5568	4482
554	5574	4469
555	5580	4456
556	5588	4444
557	5595	4432
558	5603	4420
559	5611	4409
560	5618	4396
561	5625	4384
562	5632	4371
563	5640	4360
564	5646	4347
565	5653	4335
566	5662	4324
567	5669	4311
568	5680	4302
569	5686	4290
570	5695	4279
571	5701	4265
572	5708	4254
573	5716	4242
574	5725	4232
575	5733	4220
576	5742	4209
577	5748	4197
578	5759	4187
579	5766	4175
580	5775	4165
581	5783	4153
582	5794	4144
583	5802	4133
584	5810	4121
585	5816	4109
586	5824	4098
587	5831	4085
588	5838	4074
589	5845	4061
590	5853	4050
591	5860	4039
592	5868	4027
593	5876	4016
594	5884	4005
595	5892	3994
596	5901	3983
597	5908	3972
598	5916	3960
599	5924	3949
600	5931	3937
601	5938	3926
602	5944	3914
603	5954	3904
604	5961	3892
605	5970	3881
606	5976	3869
607	5984	3858
608	5989	3845
609	5996	3834
610	6003	3821
611	6009	3809
612	6016	3798
613	6022	3786
614	6028	3774
615	6034	3761
616	6040	3749
617	6046	3737
618	6052	3725
619	6062	3715
620	6070	3704
621	6080	3695
622	6087	3683
623	6096	3673
624	6102	3661
625	6109	3650
626	6117	3639
627	6123	3627
628	6131	3616
629	6137	3604
630	6145	3593
631	6151	3581
632	6157	3569
633	6166	3559
634	6175	3549
635	6182	3538
636	6188	3526
637	6197	3516
638	6203	3504
639	6210	3493
640	6217	3482
641	6225	3471
642	6231	3459
643	6237	3447
644	6245	3437
645	6251	3425
646	6258	3414
647	6265	3403
648	6270	3391
649	6278	3380
650	6283	3368
651	6291	3357
652	6298	3346
653	6305	3336
654	6314	3325
655	6322	3315
656	6330	3304
657	6339	3294
658	6348	3284
659	6359	3276
660	6368	3266
661	6378	3256
662	6386	3246
663	6394	3235
664	6402	3225
665	6415	3217
666	6424	3207
667	6430	3196
668	6439	3185
669	6446	3175
670	6454	3164
671	6462	3154
672	6470	3143
673	6477	3132
674	6484	3121
675	6490	3110
676	6497	3099
677	6506	3089
678	6512	3078
679	6522	3069
680	6528	3057
681	6536	3047
682	6542	3036
683	6549	3026
684	6555	3014
685	6561	3003
686	6567	2992
687	6573	2980
688	6578	2969
689	6584	2958
690	6591	2947
691	6607	2940
692	6619	2932
693	6626	2921
694	6634	2911
695	6641	2900
696	6651	2891
697	6659	2881
698	6669	2871
699	6676	2861
700	6684	2851
701	6692	2840
702	6701	2831
703	6708	2820
704	6715	2809
705	6722	2799
706	6730	2789
707	6737	2778
708	6744	2768
709	6750	2757
710	6757	2746
711	6767	2737
712	6773	2726
713	6782	2716
714	6790	2706
715	6797	2696
716	6804	2685
717	6811	2675
718	6818	2664
719	6824	2654
720	6831	2643
721	6838	2633
722	6848	2623
723	6856	2613
724	6865	2604
725	6871	2593
726	6882	2584
727	6887	2573
728	6895	2563
729	6902	2552
730	6909	2542
731	6915	2531
732	6920	2520
733	6928	2510
734	6935	2500
735	6942	2490
736	6949	2480
737	6957	2469
738	6964	2459
739	6970	2449
740	6977	2438
741	6984	2428
742	6991	2418
743	6998	2408
744	7005	2397
745	7012	2387
746	7018	2377
747	7026	2367
748	7032	2356
749	7039	2346
750	7046	2336
751	7053	2326
752	7061	2316
753	7068	2306
754	7074	2295
755	7081	2285
756	7091	2276
757	7098	2266
758	7105	2256
759	7111	2245
760	7119	2235
761	7125	2225
762	7131	2215
763	7139	2205
764	7145	2195
765	7152	2185
766	7159	2174
767	7165	2164
768	7172	2154
769	7178	2144
770	7185	2134
771	7192	2124
772	7199	2114
773	7205	2103
774	7211	2093
775	7219	2083
776	7225	2073
777	7232	2063
778	7239	2053
779	7245	2043
780	7252	2033
781	7258	2023
782	7266	2013
783	7273	2003
784	7279	1993
785	7286	1983
786	7293	1973
787	7300	1964
788	7306	1953
789	7313	1944
790	7319	1933
791	7324	1923
792	7332	1914
793	7338	1903
794	7344	1893
