iter	RMSE
0	938.163342
1	879.6986459
2	824.9370212
3	773.6298488
4	726.5349869
5	684.9389983
6	643.5120778
7	604.680056
8	567.8941783
9	534.2354329
10	503.3507796
11	473.6532556
12	446.4890748
13	421.0009353
14	395.7425076
15	373.1940756
16	351.9933122
17	332.0269892
18	313.3143552
19	295.90772
20	279.1079604
21	264.1524265
22	249.2868611
23	236.8435253
24	224.4645013
25	213.4406109
26	202.6801745
27	192.4946584
28	183.4846939
29	174.5818231
30	166.4006953
31	158.8112636
32	151.7435205
33	145.0933237
34	139.0262623
35	133.1731685
36	128.0070834
37	123.1579683
38	118.5326275
39	114.0580136
40	110.0053437
41	106.2667358
42	102.5874974
43	99.40275803
44	96.27061883
45	93.5343146
46	90.59839672
47	88.15885101
48	85.61432685
49	83.15946358
50	81.04762734
51	78.53334944
52	76.74252863
53	74.70345702
54	72.52039348
55	70.42543146
56	68.30988767
57	66.69582032
58	65.15240646
59	63.4975169
60	61.86969668
61	60.48691031
62	59.41066054
63	58.2880279
64	57.01612655
65	56.11691464
66	54.96544347
67	53.8844086
68	52.83756161
69	51.97074237
70	50.89618771
71	50.04369504
72	49.27241054
73	48.27795022
74	47.67401229
75	47.00383554
76	46.38536795
77	45.77830584
78	45.14474015
79	44.62706905
80	44.03587115
81	43.45140313
82	42.83544354
83	42.3924518
84	41.77376549
85	41.25817836
86	40.72541773
87	40.34353519
88	39.76575095
89	39.40676915
90	39.09082047
91	38.58735618
92	38.25983319
93	37.81644431
94	37.54912457
95	37.09609086
96	36.71261622
97	36.25220709
98	36.00713385
99	35.69603397
100	35.45474173
101	35.09006735
102	34.72963858
103	34.50653137
104	34.32570217
105	34.05214753
106	33.89016102
107	33.76196561
108	33.4757182
109	33.13707524
110	32.85538596
111	32.52305091
112	32.43619788
113	32.24366945
114	31.96868033
115	31.79643184
116	31.52290554
117	31.28607439
118	31.0335861
119	30.8912821
120	30.82109231
121	30.61664407
122	30.37226347
123	30.24392658
124	30.16779429
125	29.9537366
126	29.88944339
127	29.81530604
128	29.63257652
129	29.52757916
130	29.34073641
131	29.12189431
132	29.067446
133	28.99054228
134	28.92004005
135	28.85435804
136	28.66506386
137	28.5115937
138	28.37426633
139	28.31096621
140	28.09151682
141	27.93869252
142	27.87858571
143	27.74097016
144	27.69040739
145	27.55547958
146	27.49679589
147	27.3504836
148	27.21405929
149	27.0623274
150	26.93266584
151	26.87596763
152	26.76079098
153	26.70133267
154	26.60184371
155	26.50611028
156	26.37938627
157	26.26148598
158	26.15040145
159	26.10338651
160	25.97670494
161	25.91964751
162	25.80464066
163	25.63625894
